channel,week,month,cate,ci_lower,ci_upper
TV Broadcast,1,1,0.7672291281936213,0.2598944033964057,1.2745638529908367
TV Broadcast,2,1,0.7672291281936213,0.2598944033964057,1.2745638529908367
TV Broadcast,3,1,0.7672291281936213,0.2598944033964057,1.2745638529908367
TV Broadcast,4,1,0.7672291281936213,0.2598944033964057,1.2745638529908367
TV Broadcast,5,1,0.7672291281936213,0.2598944033964057,1.2745638529908367
TV Broadcast,6,2,0.7556297268829506,0.22994011420778937,1.2813193395581117
TV Broadcast,7,2,0.7556297268829506,0.22994011420778937,1.2813193395581117
TV Broadcast,8,2,0.7556297268829506,0.22994011420778937,1.2813193395581117
TV Broadcast,9,2,0.7556297268829506,0.22994011420778937,1.2813193395581117
TV Broadcast,10,3,0.8835527342399015,0.5274813201362138,1.23962414834359
TV Broadcast,11,3,0.8835527342399015,0.5274813201362138,1.23962414834359
TV Broadcast,12,3,0.8835527342399015,0.5274813201362138,1.23962414834359
TV Broadcast,13,3,0.8835527342399015,0.5274813201362138,1.23962414834359
TV Broadcast,14,4,0.986067089887105,0.6654847553792088,1.3066494243950006
TV Broadcast,15,4,0.986067089887105,0.6654847553792088,1.3066494243950006
TV Broadcast,16,4,0.986067089887105,0.6654847553792088,1.3066494243950006
TV Broadcast,17,4,0.986067089887105,0.6654847553792088,1.3066494243950006
TV Broadcast,18,4,0.986067089887105,0.6654847553792088,1.3066494243950006
TV Broadcast,19,5,0.9971966034208172,0.677718593681335,1.3166746131602989
TV Broadcast,20,5,0.9971966034208172,0.677718593681335,1.3166746131602989
TV Broadcast,21,5,0.9971966034208172,0.677718593681335,1.3166746131602989
TV Broadcast,22,5,0.9971966034208172,0.677718593681335,1.3166746131602989
TV Broadcast,23,6,1.0312121214394165,0.6416882660176633,1.4207359768611694
TV Broadcast,24,6,1.0312121214394165,0.6416882660176633,1.4207359768611694
TV Broadcast,25,6,1.0312121214394165,0.6416882660176633,1.4207359768611694
TV Broadcast,26,6,1.0312121214394165,0.6416882660176633,1.4207359768611694
TV Broadcast,27,7,0.9930381290913545,0.3725681930425847,1.6135080651401235
TV Broadcast,28,7,0.9930381290913545,0.3725681930425847,1.6135080651401235
TV Broadcast,29,7,0.9930381290913545,0.3725681930425847,1.6135080651401235
TV Broadcast,30,7,0.9930381290913545,0.3725681930425847,1.6135080651401235
TV Broadcast,31,7,0.9930381290913545,0.3725681930425847,1.6135080651401235
TV Broadcast,32,8,0.9921057501253393,0.37702670998731447,1.6071847902633638
TV Broadcast,33,8,0.9921057501253393,0.37702670998731447,1.6071847902633638
TV Broadcast,34,8,0.9921057501253393,0.37702670998731447,1.6071847902633638
TV Broadcast,35,8,0.9921057501253393,0.37702670998731447,1.6071847902633638
TV Broadcast,36,9,1.005700251270271,0.3868280955458049,1.6245724069947363
TV Broadcast,37,9,1.005700251270271,0.3868280955458049,1.6245724069947363
TV Broadcast,38,9,1.005700251270271,0.3868280955458049,1.6245724069947363
TV Broadcast,39,9,1.005700251270271,0.3868280955458049,1.6245724069947363
TV Broadcast,40,10,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,41,10,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,42,10,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,43,10,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,44,10,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,45,11,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,46,11,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,47,11,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,48,11,1.053419359053348,0.25393413660399355,1.852904581502703
TV Broadcast,49,12,1.0618077803094181,0.25440306458059014,1.8692124960382444
TV Broadcast,50,12,1.0618077803094181,0.25440306458059014,1.8692124960382444
TV Broadcast,51,12,1.0618077803094181,0.25440306458059014,1.8692124960382444
TV Broadcast,52,12,1.0618077803094181,0.25440306458059014,1.8692124960382444
Paid Search,1,1,0.21286299760687258,-4.126180826580435,4.551906821794177
Paid Search,2,1,0.21286299760687258,-4.126180826580435,4.551906821794177
Paid Search,3,1,0.21286299760687258,-4.126180826580435,4.551906821794177
Paid Search,4,1,0.21286299760687258,-4.126180826580435,4.551906821794177
Paid Search,5,1,0.21286299760687258,-4.126180826580435,4.551906821794177
Paid Search,6,2,0.23137928810435532,-4.1585524531902065,4.621311029398915
