week,TV Broadcast,TV Cable,TV Streaming,Paid Search,Social,Display
1,-0.09596041465377658,-0.06309511704517241,-5.090548958914447,8.900320729431169,1.1469744356127745,1.4894573994351483
2,-0.033133699069489424,-0.019088192697514668,-4.44755914006101,7.710337068582378,1.2495621861298563,1.7431991013778727
3,0.054874717926639026,0.04142486441223512,-3.730646851533136,6.675084675235472,1.3546105407209463,1.6951691653501408
4,0.1331941544069437,0.09730700337848017,-3.0615797887735363,5.7636569057767995,1.4616274284720618,1.7486133769340448
5,0.18191505409969422,0.1384095308872344,-2.398956114133495,4.840748145692798,1.5193189752400285,1.7487691642781422
6,0.16786933467930532,0.13140063192184223,-2.0918519753497966,4.427934958582012,1.516617784352974,1.762042855495604
7,0.13894250766724217,0.11274580698945086,-2.018683934276044,4.360395322392916,1.5081110739932404,1.7544943148488412
8,0.11149419905921232,0.08249933657254722,-1.9514078490118827,4.333997080296469,1.5040682147258595,1.7572677676126662
9,0.08403935470874296,0.05302999049364839,-1.8837446803236597,4.311977262101694,1.500208833089303,1.7596743031357982
10,0.05492530283061867,0.02180504518021202,-1.8537605358637939,4.301657330160645,1.4946105368709766,1.7673851107250302
11,0.02529122359990525,-0.007906296795059957,-1.8829486611493222,4.348166011060115,1.450013368592991,1.7893635016167226
12,-0.006025411281635592,-0.021659622910926164,-1.9231532809925382,3.373901659943087,1.3549558427213162,1.6961470181479414
13,-0.03186996341459691,-0.035211205585124306,-1.8063523714320857,2.019583985768575,1.2487035343170214,1.5844977833417904
14,-0.06261201024641622,-0.06269219980279407,-1.73917280674043,1.3262024040517633,1.1669280654468985,1.4586751704955854
15,-0.09325834213129434,-0.0864108441083234,-1.6350946639452384,0.4705938682548914,1.0843179691437428,1.3368143831161137
16,-0.08516518379361553,-0.07703863393757532,-1.4156637348009204,-0.3744515656311241,1.019599735323568,1.2031518757097648
17,-0.07765806950932422,-0.06754473815046017,-1.2120540469206629,-1.2231265203507156,0.9515867059427813,1.0674064326604347
18,-0.08222482121362547,-0.046808670870691536,-1.1509798133084936,-2.6216653675114223,0.8540062225095986,0.899498780881302
19,-0.10606028550311312,-0.025688334120296894,-1.344068493176593,-3.507793874833888,0.7530702539817946,0.7928538794537859
20,-0.12870130999818177,-0.004562484470774032,-1.532673354923962,-4.406607247928822,0.6543355375968825,0.7092497633969154
21,-0.15451016457257039,0.01700890851280682,-1.7095608585852449,-5.40054724999702,0.5492597038406749,0.6235659719565755
22,-0.18214619417522138,0.04582299369119275,-2.154329414515363,-6.1210840044084005,0.43432270542291446,0.6091562018287024
23,-0.19338536905831183,0.03397642356628243,-1.9795733090413419,-5.458053017975279,0.42056552607737924,0.6490536770718149
24,-0.17295363182024076,0.04756022894099753,-1.6868339294953218,-5.112992611979494,0.4654400311556358,0.6815362445232961
25,-0.15692332146560703,0.047938652661565904,-1.4574550163187405,-4.79159450987167,0.49765351406323005,0.7379204066304879
26,-0.1286733464245529,0.04620965987397706,-1.0878272340252741,-4.23001349835969,0.5726137596675087,0.7611310533841982
27,-0.12602999436538032,0.036053780968240016,-1.1855255590290803,-3.640171705939932,0.5679654622319974,0.6812608435928437
28,-0.1088627331025138,0.03886947444333255,-0.9389550641428941,-3.7331168635926044,0.5800855303284929,0.5121425008884506
29,-0.10674791787346408,0.029471527663886426,-1.0196802813266443,-3.670657201514597,0.5596569339994666,0.4053038622123689
30,-0.08366420603464716,0.04294590027724221,-1.0588535208227663,-3.1518828616584744,0.6016556796668364,0.13009889158112467
31,-0.074775273902936,0.052250926002506165,-1.2359140789956746,-2.3993966225616083,0.5535395881073668,-0.19653603315639925
32,-0.051408786473768925,0.10680465865304939,-1.234902147962757,-1.5648455898477034,0.5327543201920117,-0.47318124834284675
33,-0.044269920438708976,0.10026395486703292,-1.267563150991071,-1.1047289048014284,0.47971300802128974,-0.7712501521069051
