dma_New_York,hour_sin,hour_cos,dma_Los_Angeles,organic_trend,is_weekend,month_cos,dma_Chicago,dma_Phoenix,dma_Atlanta
7.000722257786186,5.438731164105084,2.181932767989703,-0.3066480513833334,1.6902719168977642,0.4246709144202576,0.9996881153807841,-0.019387877491709324,0.1039822864342004,0.10356465277478365
-0.4054773904203484,-0.4892016810787825,-0.6287749609225131,-0.2992022614468916,-0.12745474958528635,-0.21823168534753185,-0.09975069997433901,-0.059088803636065744,0.03382537342660746,0.031876314455383414
-0.5756223859794372,0.5110301119986133,-0.710150344740023,-0.43105217368754417,-0.17784224746518457,0.11208667140869145,-0.14809584847601276,-0.09989943512664246,-0.4463856946650147,0.031603442726765484
-0.8119137254444811,1.988715022229842,0.9999394505927339,-0.5839607799289724,-0.29024011543943495,0.19408442543120444,-0.23940970039290727,-0.10575710017198751,0.09725932818730683,0.09097848414033882
-0.5216524433073605,-1.0581684080908689,-0.931328784949744,-0.3702625512520298,0.5566192452489737,0.13018694804499162,0.3291203701272944,-0.07204239429615866,0.06638153841393064,0.05465017436876657
4.018661630397567,-1.1564223550543196,0.08010542369520865,-0.2134276351300336,-0.32823888510105553,0.23154953379760398,0.5937980903844182,-0.02256616368875819,0.05575763490118631,0.051558883945610555
-0.6646302945194835,-0.39929273930113846,-0.0795188081510083,-0.47715869110801085,0.5884194889210346,0.13851657868452602,0.3171337648154503,-0.11730064194650315,0.047115010774255756,-0.3872917842285699
-0.5884538504327274,-0.8489329622184256,-0.46362828422224295,-0.42628130949458254,0.5974939747181496,0.14896955692558075,0.36247513160556827,-0.08234423163525967,0.06597201391326807,0.054719622469990216
-0.2864617351399918,-0.9191338166742946,-0.6784530789212252,1.767282100101543,-0.23205792398739356,-0.30750152483592863,0.0018116561565618867,-0.026612402071131344,0.034270981481027606,0.029293503549163376
-0.28741023265414123,-1.2414330843677421,-0.6570646770042953,1.6093081504929434,-0.28723697791813274,-0.3531823494535664,-0.2133235862978363,-0.0226815449777724,0.03394510384071656,0.02782148630165692
3.0787568654668096,-1.087803215601763,-1.824573913689274,-0.17864079954976617,-0.3302961058528903,0.1840708805703587,-0.3086608135799967,-0.009893244645231645,0.04056607552905479,0.04201414968139793
-0.5307531680071614,0.48604396614113454,-0.6940535717734019,-0.392689596367387,-0.2605799645219764,-0.3025742986085822,-0.03588347330294398,-0.0812155382235498,0.04950135102589651,0.043621333123110714
-0.6550837969545934,-0.12493204222624792,0.550882078900725,-0.4841907841149005,0.575941484167457,-0.36027292610647443,0.2844513786640913,-0.1189959809502328,0.04557919506057499,-0.4201834242687993
